19558	20937	61241	11852	20105	85636	45119	1552	95625	21524
99791	75835	29148	14336	21538	32363	36396	12038	41961	83999
39770	4300	58115	87486	28709	83511	35878	258	19617	76138
7711	75346	16437	30434	85479	76708	63137	5069	15652	73988
50418	74797	88347	96874	12220	33062	13800	84712	94574	80700
3888	39734	57494	41676	18214	3063	22252	21946	5655	32222
22959	57290	13464	99580	11828	81951	82453	43479	3483	89762
76270	5376	47158	57117	46492	72075	33692	13657	41486	25757
9926	70762	68548	42801	43362	8213	22224	50231	83309	47356
17171	9907	5180	86851	34963	27233	28541	26458	93541	61695
85964	99660	39916	77473	52841	790	69965	8769	34982	38509
53806	57779	98276	25662	77228	53136	54426	51914	17452	69424
6845	50928	94605	4173	72337	77952	38780	91907	96259	4206
44700	68731	21298	85782	26298	527	37541	86777	60059	97914
93287	87632	4784	98399	89764	95915	89658	41279	45803	15720
7962	78067	80688	98729	64639	92889	21125	97274	8490	45990
714	45865	29441	85360	61118	37128	63677	25827	85532	4086
97100	5631	75098	26041	17859	54161	11894	44364	87793	83367
72424	23605	51535	57088	65975	48603	40660	92869	60685	27627
63974	50680	1901	96588	55644	5931	25599	92511	78563	12389
81222	77816	2206	20754	23957	29038	92701	96345	93622	38864
13222	99414	9615	86776	40964	64173	93072	80653	75273	56344
38435	46620	55554	51061	74205	62742	73926	84823	72674	40119
53924	59153	38223	33855	68115	76912	7535	78858	86921	39398
31294	42681	88627	24458	62831	15019	82196	64214	52382	96332
25912	25719	74134	16547	69739	20925	65104	52002	46035	85798
29786	88808	37038	4169	22105	77201	12651	47675	88633	87424
26656	31058	59993	75769	70090	12780	86619	34490	22975	41107
3784	51591	35530	84961	27944	35641	88476	96240	48112	26997
42149	34784	29283	649	58153	28368	80837	531	2047	65406
12489	35478	69127	63042	65023	40542	59261	82513	51233	44088
98024	50431	3503	79910	77670	19825	19814	10027	66164	35498
56872	70000	6074	75811	20157	40914	62023	50274	27186	26522
51806	36076	93595	63039	31147	91736	12457	72119	9523	95814
10738	26253	49825	93738	88867	92782	54101	17104	42067	92008
